Channels,Total,,,,,,,,1 of 8: AMAZON-B2B,,,,,,,,2 of 8: FLIPKART-B2B,,,,,,,,3 of 8: MEESHO B2C,,,,,,,,4 of 8: SHOPSY B2C,,,,,,,,5 of 8: FK MP B2C,,,,,,,,Combined FK B2C,,,,,,,,6 of 8: Amazon Bazaar & B2C,,,,,,,,7 of 8: JioMart B2C,,,,,,,,8 of 8: Blinkit B2B,,,,,,,,
Day,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share,GMV,Units,Packets,Ads Spent,Avg ASP,TACOS,MOM Growth,Channel share
01-Dec,"21,16,384",3967,5762,"3,39,681",533,16.10%,,"","5,43,239",1033,1979,"54,766",526,10.10%,,25.70%,"10,81,302",1658,2210,"2,04,200",652,18.90%,,51.10%,"3,60,672",857,1091,"10,696",421,3.00%,,17.00%,"93,749",344,373,"3,504",273,3.70%,,4.40%,"16,639",38,63,"393",438,2.40%,,0.80%,"1,10,388",382,436,"3,897",289,3.50%,,5.20%,"499",1,1,"-",499,0.00%,,0.00%,"20,284",36,45,"-",563,0.00%,,1.00%,-,-,-,-,#DIV/0!,#DIV/0!,,0.00%
02-Dec,"20,52,632",3914,5809,"3,06,412",524,14.90%,-3.00%,"","5,81,424",1120,2124,"52,907",519,9.10%,7.00%,28.30%,"8,98,121",1359,1841,"1,77,700",661,19.80%,-16.90%,43.80%,"3,77,415",882,1133,"10,158",428,2.70%,4.60%,18.40%,"1,49,139",485,560,"5,274",308,3.50%,59.10%,7.30%,"23,433",30,107,"521",781,2.20%,40.80%,1.10%,"1,72,572",515,667,"5,795",335,3.40%,56.30%,8.40%,"3,496",2,4,"-",1748,0.00%,600.60%,0.20%,"19,604",36,40,"-",545,0.00%,-3.40%,1.00%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
03-Dec,"21,74,402",4106,6075,"2,98,904",530,13.70%,5.90%,"","5,68,569",1114,2131,"57,952",510,10.20%,-2.20%,26.10%,"10,74,241",1639,2198,"1,66,300",655,15.50%,19.60%,49.40%,"3,91,192",914,1205,"9,454",428,2.40%,3.70%,18.00%,"1,05,526",391,418,"4,880",270,4.60%,-29.20%,4.90%,"22,533",31,100,"508",727,2.30%,-3.80%,1.00%,"1,28,059",422,518,"5,388",303,4.20%,-25.80%,5.90%,"3,995",3,5,"-",1332,0.00%,14.30%,0.20%,"8,346",14,18,"-",596,0.00%,-57.40%,0.40%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
04-Dec,"25,81,939",4586,6860,"3,21,475",563,12.50%,18.70%,"","6,08,373",1138,2177,"58,454",535,9.60%,7.00%,23.60%,"14,83,324",2196,3055,"1,89,400",675,12.80%,38.10%,57.50%,"3,78,178",888,1211,"9,083",426,2.40%,-3.30%,14.60%,"92,402",324,358,"4,305",285,4.70%,-12.40%,3.60%,"7,554",18,36,"417",420,5.50%,-66.50%,0.30%,"99,956",342,394,"4,722",292,4.70%,-21.90%,3.90%,"1,497",3,3,"-",499,0.00%,-62.50%,0.10%,"10,611",19,20,"-",558,0.00%,27.10%,0.40%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
05-Dec,"23,69,214",4309,6821,"3,01,018",550,12.70%,-8.20%,"","5,07,442",1008,2304,"59,636",503,11.80%,-16.60%,21.40%,"13,57,064",2056,2781,"1,81,500",660,13.40%,-8.50%,57.30%,"3,83,178",794,1223,"7,173",483,1.90%,1.30%,16.20%,"98,109",404,430,"4,168",243,4.20%,6.20%,4.10%,"14,388",30,63,"277",480,1.90%,90.50%,0.60%,"1,12,497",434,493,"4,445",259,4.00%,12.50%,4.70%,"539",1,1,"-",539,0.00%,-64.00%,0.00%,"8,494",16,19,"-",531,0.00%,-20.00%,0.40%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
06-Dec,"22,13,494",3988,5985,"2,39,792",555,10.80%,-6.60%,"","4,67,620",882,1844,"9,354",530,2.00%,-7.80%,21.10%,"13,01,329",1991,2661,"1,70,100",654,13.10%,-4.10%,58.80%,"3,31,107",731,1044,"6,878",453,2.10%,-13.60%,15.00%,"87,272",339,361,"3,506",257,4.00%,-11.00%,3.90%,"8,477",14,35,"304",606,3.60%,-41.10%,0.40%,"95,749",353,396,"3,810",271,4.00%,-14.90%,4.30%,-,-,-,-,#DIV/0!,#DIV/0!,-100.00%,0.00%,"17,689",31,40,"-",571,0.00%,108.30%,0.80%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
07-Dec,"23,61,396",4393,6291,"2,41,812",538,10.20%,6.70%,"","5,78,629",1050,2008,"-",551,0.00%,23.70%,24.50%,"12,48,308",1932,2546,"1,82,900",646,14.70%,-4.10%,52.90%,"4,11,534",968,1253,"7,512",425,1.80%,24.30%,17.40%,"96,932",397,407,"3,301",244,3.40%,11.10%,4.10%,"11,328",21,44,"256",539,2.30%,33.60%,0.50%,"1,08,260",418,451,"3,557",259,3.30%,13.10%,4.60%,"1,078",2,2,"-",539,0.00%,#DIV/0!,0.00%,"13,587",23,31,"-",591,0.00%,-23.20%,0.60%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
08-Dec,"23,02,534",4243,6326,"2,42,815",543,10.50%,-2.50%,"","5,56,377",1050,2118,"29,052",530,5.20%,-3.80%,24.20%,"12,59,518",1922,2577,"1,72,700",655,13.70%,0.90%,54.70%,"3,63,038",822,1130,"6,550",442,1.80%,-11.80%,15.80%,"96,267",397,409,"3,631",242,3.80%,-0.70%,4.20%,"12,825",21,60,"275",611,2.10%,13.20%,0.60%,"1,09,092",418,469,"3,906",261,3.60%,0.80%,4.70%,"938",2,2,"-",469,0.00%,-13.00%,0.00%,"13,571",29,30,"-",468,0.00%,-0.10%,0.60%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
09-Dec,"24,83,304",4686,6964,"2,57,009",530,10.30%,7.90%,"","6,06,386",1252,2367,"41,314",484,6.80%,9.00%,24.40%,"13,34,036",2044,2727,"1,75,300",653,13.10%,5.90%,53.70%,"4,14,392",951,1362,"6,174",436,1.50%,14.10%,16.70%,"93,590",372,389,"3,966",252,4.20%,-2.80%,3.80%,"16,683",34,78,"313",491,1.90%,30.10%,0.70%,"1,10,273",406,467,"4,279",272,3.90%,1.10%,4.40%,"499",1,1,"-",499,0.00%,-46.80%,0.00%,"17,718",32,40,"-",554,0.00%,30.60%,0.70%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
10-Dec,"25,48,499",4562,7088,"3,01,090",559,11.80%,2.60%,"","6,29,292",1266,2527,"61,742",497,9.80%,3.80%,24.70%,"14,06,832",2128,2884,"2,01,700",661,14.30%,5.50%,55.20%,"3,99,165",830,1274,"5,878",481,1.50%,-3.70%,15.70%,"85,803",283,326,"4,255",303,5.00%,-8.30%,3.40%,"11,368",24,41,"352",474,3.10%,-31.90%,0.40%,"97,171",307,367,"4,607",317,4.70%,-11.90%,3.80%,-,-,-,-,#DIV/0!,#DIV/0!,-100.00%,0.00%,"16,039",31,36,"-",517,0.00%,-9.50%,0.60%,-,-,-,-,#DIV/0!,#DIV/0!,#DIV/0!,0.00%
